Sensor Data - Down: 0, Left: 1, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 0, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 1, Right: 1, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 0, Up: 0
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
Sensor Data - Down: 1, Left: 1, Right: 0, Up: 0
Sensor Data - Down: 0, Left: 0, Right: 1, Up: 1
Sensor Data - Down: 1, Left: 0, Right: 0, Up: 1
